name,distance in miles,distance in minutes,address,image url
Farmhouse Cafe & Eatery,23.3,28,"3180 PA-611, Bartonsville, PA 18321",
Desaki,12,21,"2054 PA-611, Swiftwater, PA 18370",
Dutchman Tavern,0.7,4,"239 Main St, Gouldsboro, PA 18424",https://lh3.googleusercontent.com/p/AF1QipNmMvtCqNbKUtvnF36K7C-DrwmJtlxgvWinUmlV=s3024-w3024-h1446
Mendicino's Pizza,6,12,"921 Drinker Turnpike, Covington Township, PA 18444",
Kay's Italian Restaurant,6,10,"400 PA-435, Moscow, PA 18444",
"FuDa Sushi, Hibachi & Chinese Restaurant",6,11,"480 Daleville Hwy, Covington Township, PA 18444",
Country Cafe,6,10,"75 Daleville Hwy, Moscow, PA 18444",
Muggles’ Mug,44,53,"79 Broadway, Jim Thorpe, PA 18229",
Burger King,1.7,5,"17 Main St, Gouldsboro, PA 18424",
